movie_title,title_year,duration,content_rating,gross,budget,country,director_name,actor_main,director_facebook_likes,actor_main_facebook_likes,cast_total_facebook_likes,movie_facebook_likes,num_voted_users,facenumber_in_poster,imdb_score,Financial_Success
The Station Agent,2003,89,R,5739376,500000,USA,Tom McCarthy,Peter Dinklage,310,22000,24419,10000,29130,0,7.7,1
To Save a Life,2009,120,PG-13,3773863,1000000,USA,Brian Baugh,Randy Wayne,300,2000,5000,10000,2291.5,1,7.1,1
Beyond the Mat,1999,108,R,2047570,500000,USA,Barry W. Blaustein,Terry Funk,300,2000,5000,10000,3395,3,7.6,1
Groove,2000,86,R,1114943,500000,USA,Greg Harrison,Rachel True,100,1000,2500,2500,1781,0,6.5,0
Twin Falls Idaho,1999,111,R,985341,500000,USA,Michael Polish,Sasha Alexander,100,1000,2500,2500,1739.5,0,7.3,0
Mean Creek,2004,90,R,603943,500000,USA,Jacob Aaron Estes,Rory Culkin,100,1000,2500,250,13203.5,0,7.3,0
Hurricane Streets,1997,86,R,334041,500000,USA,Morgan J. Freeman,Edie Falco,100,1000,2500,2500,519,3,6.5,0
Never Again,2001,98,R,295468,500000,USA,Eric Schaeffer,Peter Dinklage,100,11000,12191,2500,354.5,1,6,0
Civil Brand,2002,91,R,243347,500000,USA,Neema Barnette,Monica Calhoun,100,1000,2500,2500,276.5,3,5.3,0
Lonesome Jim,2005,91,R,154077,500000,USA,Steve Buscemi,Kevin Corrigan,11800,1000,2500,2500,3442,0,6.6,0
Home,2015,94,PG,177343675,135000000,USA,Tim Johnson,Jim Parsons,300,17000,17883,26000,35068,0,6.7,1
Monsters,2010,94,R,237301,500000,UK,Gareth Edwards,Scoot McNairy,180,1000,2500,4750,37834.5,0,6.4,0
Crossroads,2002,93,PG-13,37188667,12000000,USA,Tamra Davis,Britney Spears,300,2000,5000,10000,17109.5,1,3.3,1
Oz the Great and Powerful,2013,130,PG,234903076,215000000,USA,Sam Raimi,Tim Holmes,300,44000,73441,60000,87706.5,4,6.4,1
Straight Out of Brooklyn,1991,91,R,2712293,450000,USA,Matty Rich,Lawrence Gilliard Jr.,300,2000,5000,10000,237.5,4,5.9,1
Bloody Sunday,2002,107,R,768045,2000000,UK,Paul Greengrass,James Nesbitt,321,1000,2500,2500,9866,0,7.7,0
Conversations with Other Women,2005,84,R,379122,450000,UK,Hans Canosa,Olivia Wilde,100,5000,6248,2500,5071.5,0,7.1,0
Tangled,2010,100,PG,200807262,260000000,USA,Nathan Greno,Brad Garrett,100,1000,2500,7250,147405,1,7.8,0
Avengers: Age of Ultron,2015,141,PG-13,458991599,250000000,USA,Joss Whedon,Chris Hemsworth,300,26000,92000,118000,231334.5,4,7.5,1
Harry Potter and the Half-Blood Prince,2009,153,PG,301956980,250000000,UK,David Yates,Alan Rickman,300,25000,58753,10000,160897.5,3,7.5,1
Batman v Superman: Dawn of Justice,2016,183,PG-13,330249062,250000000,USA,Zack Snyder,Henry Cavill,300,15000,24450,197000,185819.5,0,6.9,1
Superman Returns,2006,169,PG-13,200069408,209000000,USA,Bryan Singer,Kevin Spacey,100,9000,14995.5,2500,120198,0,6.1,0
Quantum of Solace,2008,106,PG-13,168368427,200000000,UK,Marc Forster,Giancarlo Giannini,195,1000,2500,2500,165392,1,6.7,0
Pirates of the Caribbean: Dead Man's Chest,2006,151,PG-13,423032628,225000000,USA,Gore Verbinski,Johnny Depp,563,40000,48486,5000,261020,2,7.3,1
The Lone Ranger,2013,150,PG-13,89289910,215000000,USA,Gore Verbinski,Johnny Depp,363,20000,22878.5,12000,90896,1,6.5,0
Man of Steel,2013,143,PG-13,291021565,225000000,USA,Zack Snyder,Henry Cavill,300,15000,20495,118000,274286.5,0,7.2,1
The Chronicles of Narnia: Prince Caspian,2008,150,PG,141614023,225000000,USA,Andrew Adamson,Peter Dinklage,100,11000,11348.5,2500,74961,4,6.6,0
The Avengers,2012,173,PG-13,623279547,220000000,USA,Joss Whedon,Chris Hemsworth,300,26000,87697,123000,497707.5,3,8.1,1
Pirates of the Caribbean: On Stranger Tides,2011,136,PG-13,241063875,250000000,USA,Rob Marshall,Johnny Depp,100,20000,27041.5,14500,185352,4,6.7,0
Men in Black 3,2012,106,PG-13,179020854,225000000,USA,Barry Sonnenfeld,Will Smith,100,5000,6286,10000,134077,1,6.8,0
The Hobbit: The Battle of the Five Armies,2014,164,PG-13,255108370,250000000,New Zealand,Peter Jackson,Aidan Turner,300,5000,9152,65000,177114,0,7.5,1
The Amazing Spider-Man,2012,153,PG-13,262030663,230000000,USA,Marc Webb,Emma Stone,464,15000,28489,56000,225901.5,0,7,1
Robin Hood,2010,156,PG-13,105219735,200000000,USA,Ridley Scott,Mark Addy,100,1000,2500,4250,105882.5,0,6.7,0
The Hobbit: The Desolation of Smaug,2013,186,PG-13,258355354,225000000,USA,Peter Jackson,Aidan Turner,300,5000,9152,83000,241770,6,7.9,1
The Golden Compass,2007,113,PG-13,70083519,180000000,USA,Chris Weitz,Christopher Lee,100,8000,12053,2500,74509.5,2,6.1,0
King Kong,2005,201,PG-13,218051260,207000000,New Zealand,Peter Jackson,Naomi Watts,300,6000,7123,10000,158009,0,7.2,1
Titanic,1997,194,PG-13,658672302,200000000,USA,James Cameron,Leonardo DiCaprio,300,29000,45223,26000,396529.5,0,7.7,1
Captain America: Civil War,2016,147,PG-13,407197282,250000000,USA,Anthony Russo,Robert Downey Jr.,300,21000,64798,72000,136335,0,8.2,1
Battleship,2012,131,PG-13,65173160,209000000,USA,Peter Berg,Liam Neeson,332,7000,13339.5,11000,101191,0,5.9,0
Jurassic World,2015,124,PG-13,652177271,150000000,USA,Colin Trevorrow,Bryce Dallas Howard,365,3000,8458,150000,209107,0,7,1
Skyfall,2012,143,PG-13,304360277,200000000,UK,Sam Mendes,Albert Finney,300,2000,5000,80000,261015,0,7.8,1
Spider-Man 2,2004,135,PG-13,373377893,200000000,USA,Sam Raimi,J.K. Simmons,300,24000,43388,10000,205582,1,7.3,1
Iron Man 3,2013,195,PG-13,408992272,200000000,USA,Shane Black,Robert Downey Jr.,1000,21000,30426,95000,278744.5,3,7.2,1
Alice in Wonderland,2010,108,PG,334185206,200000000,USA,Tim Burton,Johnny Depp,13000,40000,79957,24000,153160,0,6.5,1
X-Men: The Last Stand,2006,104,PG-13,234360014,210000000,Canada,Brett Ratner,Hugh Jackman,420,20000,21714,10000,191713.5,0,6.8,1
Monsters University,2013,104,G,268488329,200000000,USA,Dan Scanlon,Steve Buscemi,300,12000,14863,44000,117512.5,0,7.3,1
Transformers: Revenge of the Fallen,2009,150,PG-13,402076689,200000000,USA,Michael Bay,Glenn Morshower,300,2000,5000,10000,161603.5,0,6,1
Transformers: Age of Extinction,2014,165,PG-13,245428137,210000000,USA,Michael Bay,Bingbing Li,300,2000,5000,56000,121210,2,5.7,1
Oz the Great and Powerful,2013,130,PG,234903076,215000000,USA,Sam Raimi,Tim Holmes,300,44000,73441,60000,87704.5,4,6.4,1
The Amazing Spider-Man 2,2014,142,PG-13,202853933,200000000,USA,Marc Webb,Emma Stone,464,15000,28631,41000,160613.5,0,6.7,1
TRON: Legacy,2010,125,PG,172051787,170000000,USA,Joseph Kosinski,Jeff Bridges,364,12000,25550,30000,132091.5,0,6.8,1
Cars 2,2011,106,G,191450875,200000000,USA,John Lasseter,Joe Mantegna,287,1000,2500,2500,50589,0,6.3,0
Green Lantern,2011,123,PG-13,116593191,200000000,USA,Martin Campbell,Ryan Reynolds,100,8000,8828.5,6000,111696.5,2,5.6,0
Toy Story 3,2010,103,G,414984497,200000000,USA,Lee Unkrich,Tom Hanks,300,15000,19085,30000,272442,3,8.3,1
Terminator Salvation,2009,118,PG-13,125320003,200000000,USA,McG,Christian Bale,168,11500,13734,2500,143047.5,0,6.6,0
Furious 7,2015,140,PG-13,350034110,190000000,USA,James Wan,Jason Statham,300,26000,79150,94000,139116,0,7.2,1
World War Z,2013,123,PG-13,202351611,190000000,USA,Marc Forster,Peter Capaldi,395,17000,32392,129000,232509.5,0,7,1
X-Men: Days of Future Past,2014,149,PG-13,233914986,200000000,USA,Bryan Singer,Jennifer Lawrence,300,34000,91434,82000,257062.5,7,8,1
Star Trek Into Darkness,2013,132,PG-13,228756232,190000000,USA,J.J. Abrams,Benedict Cumberbatch,14000,19000,21411,92000,197786.5,0,7.8,1
Jack the Giant Slayer,2013,114,PG-13,65171860,195000000,USA,Bryan Singer,Eddie Marsan,100,1000,2500,5500,53208,1,6.3,0
The Great Gatsby,2013,143,PG-13,144812796,105000000,Australia,Baz Luhrmann,Leonardo DiCaprio,1000,29000,29770,115000,181456,4,7.3,1
Prince of Persia: The Sands of Time,2010,116,PG-13,90755643,200000000,USA,Mike Newell,Jake Gyllenhaal,100,7500,8074.5,5750,111201.5,2,6.6,0
Pacific Rim,2013,131,PG-13,101785482,190000000,USA,Guillermo del Toro,Charlie Hunnam,100,8000,9583,20750,190574,0,7,0
Transformers: Dark of the Moon,2011,154,PG-13,352358779,195000000,USA,Michael Bay,Glenn Morshower,300,2000,5000,46000,163090,2,6.3,1
Indiana Jones and the Kingdom of the Crystal Skull,2008,122,PG-13,317011114,185000000,USA,Steven Spielberg,Harrison Ford,14000,11000,14959,5000,166923.5,2,6.2,1
Star Trek Beyond,2016,122,PG-13,130468626,185000000,USA,Justin Lin,Sofia Boutella,481,1000,2500,7500,26803.5,4,7.5,0
WALL╖E,2008,98,G,223806889,180000000,USA,Andrew Stanton,John Ratzenberger,475,2000,5000,16000,359418.5,0,8.4,1
Rush Hour 3,2007,91,PG-13,140080850,140000000,USA,Brett Ratner,Tzi Ma,220,1000,2500,2500,60542,2,6.2,0
2012,2009,158,PG-13,166112167,200000000,USA,Roland Emmerich,Oliver Platt,576,1000,2500,3250,141709,0,5.8,0
A Christmas Carol,2009,96,PG,137850096,200000000,USA,Robert Zemeckis,Robin Wright,100,9000,24439,2500,36404.5,0,6.8,0
Jupiter Ascending,2015,127,PG-13,47375327,176000000,USA,Lana Wachowski,Channing Tatum,100,8500,23667,11000,69796.5,1,5.4,0
The Legend of Tarzan,2016,110,PG-13,124051759,180000000,USA,David Yates,Christoph Waltz,100,5500,10587.5,7250,21186,2,6.6,0
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,150,PG,291709845,180000000,USA,Andrew Adamson,Jim Broadbent,300,2000,5000,10000,143253,5,6.9,1
X-Men: Apocalypse,2016,144,PG-13,154985087,178000000,USA,Bryan Singer,Jennifer Lawrence,100,17000,24842,13500,74189.5,6,7.3,0
The Dark Knight,2008,152,PG-13,533316061,185000000,USA,Christopher Nolan,Christian Bale,22000,23000,57802,37000,838084.5,0,9,1
Up,2009,96,PG,292979556,175000000,USA,Pete Docter,John Ratzenberger,300,2000,5000,27000,332787.5,1,8.3,1
Monsters vs. Aliens,2009,94,PG,198332128,175000000,USA,Rob Letterman,Amy Poehler,300,2000,5000,10000,57276.5,2,6.5,1
Iron Man,2008,126,PG-13,318298180,140000000,USA,Jon Favreau,Robert Downey Jr.,4000,21000,39252,10000,348169,3,7.9,1
Hugo,2011,126,PG,73820094,170000000,USA,Martin Scorsese,Chloδ Grace Moretz,16800,8500,18008.5,10500,122666.5,0,7.5,0
Wild Wild West,1999,106,PG-13,113745408,170000000,USA,Barry Sonnenfeld,Will Smith,100,5000,7935,2500,64800.5,2,4.8,0
The Mummy: Tomb of the Dragon Emperor,2008,112,PG-13,102176165,145000000,USA,Rob Cohen,Jet Li,157,2500,4565.5,2500,58963.5,2,5.2,0
Suicide Squad,2016,123,PG-13,161087183,175000000,USA,David Ayer,Will Smith,252,5000,5643.5,20000,59496,8,6.9,0
Evan Almighty,2007,96,PG,100289690,175000000,USA,Tom Shadyac,Jimmy Bennett,100,43500,54008,500,57549.5,0,5.4,0
Edge of Tomorrow,2014,113,PG-13,100189501,178000000,USA,Doug Liman,Tom Cruise,100,5000,6326,19250,215810,1,7.9,0
Waterworld,1995,176,PG-13,88246220,175000000,USA,Kevin Reynolds,Jeanne Tripplehorn,100,1000,2500,2500,72168.5,0,6.1,0
G.I. Joe: The Rise of Cobra,2009,118,PG-13,150167630,175000000,USA,Stephen Sommers,Joseph Gordon-Levitt,100,11500,13341.5,2500,87289,4,5.8,0
Inside Out,2015,95,PG,356454367,175000000,USA,Pete Docter,Amy Poehler,300,2000,5000,118000,172599,1,8.3,1
The Jungle Book,2016,106,PG,362645141,175000000,UK,Jon Favreau,Scarlett Johansson,4000,19000,32921,65000,53036,0,7.8,1
Iron Man 2,2010,124,PG-13,312057433,200000000,USA,Jon Favreau,Robert Downey Jr.,4000,21000,48638,18000,261185.5,4,7,1
Snow White and the Huntsman,2012,132,PG-13,155111815,170000000,USA,Rupert Sanders,Chris Hemsworth,100,13000,36440.5,13250,114277,0,6.1,0
Maleficent,2014,97,PG,241407328,180000000,USA,Robert Stromberg,Angelina Jolie Pitt,300,11000,15516,89000,126128.5,2,7,1
Dawn of the Planet of the Apes,2014,130,PG-13,208543795,170000000,USA,Matt Reeves,Gary Oldman,300,10000,14363,45000,158771,0,7.6,1
47 Ronin,2013,128,PG-13,38297305,175000000,USA,Carl Rinsch,Keanu Reeves,100,9000,10482.5,8750,58497,2,6.3,0
Shrek Forever After,2010,93,PG,238371987,165000000,USA,Mike Mitchell,Jon Hamm,300,4000,5000,10000,69330.5,2,6.4,1
Tomorrowland,2015,130,PG,93417865,190000000,USA,Brad Bird,Judy Greer,463,1000,2523,9250,64153,2,6.5,0
Big Hero 6,2014,102,PG,222487711,165000000,USA,Don Hall,Damon Wayans Jr.,300,2000,5000,41000,139546.5,0,7.9,1
Wreck-It Ralph,2012,101,PG,189412677,165000000,USA,Rich Moore,Jack McBrayer,300,2000,5000,40000,136267,1,7.8,1
The Polar Express,2004,100,G,665426,165000000,USA,Robert Zemeckis,Tom Hanks,100,7500,8132,2500,60399,0,6.6,0
Independence Day: Resurgence,2016,120,PG-13,102315545,165000000,USA,Roland Emmerich,Vivica A. Fox,576,1000,2500,16750,29068.5,0,5.5,0
How to Train Your Dragon,2010,98,PG,217387997,165000000,USA,Dean DeBlois,Gerard Butler,300,18000,20453,33000,242715,0,8.2,1
Terminator 3: Rise of the Machines,2003,109,R,150350192,200000000,USA,Jonathan Mostow,Nick Stahl,100,1000,2500,2500,152670,0,6.4,0
Guardians of the Galaxy,2014,121,PG-13,333130696,170000000,USA,James Gunn,Bradley Cooper,571,14000,32438,96000,341077.5,3,8.1,1
Interstellar,2014,169,PG-13,187991439,165000000,USA,Christopher Nolan,Matthew McConaughey,22000,11000,31488,349000,464113.5,1,8.6,1
Inception,2010,148,PG-13,292568851,160000000,USA,Christopher Nolan,Leonardo DiCaprio,22000,29000,81115,175000,734100,0,8.8,1
The Fast and the Furious,2001,106,PG-13,144512310,38000000,USA,Rob Cohen,Paul Walker,357,23000,45327,14000,136111.5,2,6.7,1
The Curious Case of Benjamin Button,2008,166,PG-13,127490802,150000000,USA,David Fincher,Brad Pitt,20800,5500,6666.5,5750,229673,2,7.8,0
The Sorcerer's Apprentice,2010,109,PG,63143812,150000000,USA,Jon Turteltaub,Nicolas Cage,100,6000,6694,2750,62092.5,0,6.1,0
Poseidon,2006,98,PG-13,60655503,160000000,USA,Wolfgang Petersen,Jimmy Bennett,100,43500,46228,2500,41190,0,5.6,0
Alice Through the Looking Glass,2016,113,PG,76846624,170000000,USA,James Bobin,Johnny Depp,100,20000,40403,7500,10676,1,6.4,0
Shrek the Third,2007,93,PG,320706665,160000000,USA,Chris Miller,Justin Timberlake,300,3000,5000,10000,105985.5,2,6.1,1
Warcraft,2016,123,PG-13,46978995,160000000,USA,Duncan Jones,Dominic Cooper,100,1500,2752.5,22250,55804.5,0,7.3,0
Terminator Genisys,2015,126,PG-13,89732035,155000000,USA,Alan Taylor,J.K. Simmons,100,12000,19436.5,20500,94228.5,2,6.6,0
The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,113,PG,104383624,155000000,USA,Michael Apted,Bruce Spence,100,1000,2500,2750,53223,4,6.3,0
Pearl Harbor,2001,184,PG-13,198539855,140000000,USA,Michael Bay,Jennifer Garner,300,3000,5401,10000,127055.5,0,6.1,1
Transformers,2007,144,PG-13,318759914,150000000,USA,Michael Bay,Zack Ward,300,2000,5000,8000,256579,0,7.1,1
Alexander,2004,206,R,34293771,155000000,Germany,Oliver Stone,Anthony Hopkins,100,6000,12299,2500,69431.5,3,5.5,0
Harry Potter and the Order of the Phoenix,2007,138,PG-13,292000866,150000000,UK,David Yates,Robert Pattinson,300,21000,33433,10000,177568.5,3,7.5,1
Harry Potter and the Goblet of Fire,2005,157,PG-13,289994397,150000000,UK,Mike Newell,Robert Pattinson,300,21000,53413,10000,192835,1,7.6,1
Hancock,2008,102,PG-13,227946274,150000000,USA,Peter Berg,Will Smith,532,10000,21584,10000,171824,0,6.4,1
I Am Legend,2007,104,PG-13,256386216,150000000,USA,Francis Lawrence,Will Smith,508,10000,13076,11000,265435,0,7.2,1
Charlie and the Chocolate Factory,2005,115,PG,206456431,150000000,USA,Tim Burton,Johnny Depp,13000,40000,57844,10000,160142,3,6.7,1
Ratatouille,2007,111,G,206435493,150000000,USA,Brad Bird,Janeane Garofalo,663,2000,5000,10000,236943.5,0,8,1
Batman Begins,2005,128,PG-13,205343774,150000000,USA,Christopher Nolan,Christian Bale,22000,23000,59558,15000,490473,0,8.3,1
Madagascar: Escape 2 Africa,2008,89,PG,179982968,150000000,USA,Eric Darnell,Bernie Mac,300,2000,5000,10000,73009.5,0,6.7,1
Night at the Museum: Battle of the Smithsonian,2009,105,PG,177243721,150000000,USA,Shawn Levy,Robin Williams,300,49000,54039,2000,65136,2,5.9,1
X-Men Origins: Wolverine,2009,119,PG-13,179883016,150000000,USA,Gavin Hood,Hugh Jackman,300,20000,40054,10000,180962,0,6.7,1
The Matrix Revolutions,2003,129,R,139259759,150000000,Australia,Lana Wachowski,Essie Davis,100,1000,2500,2500,182474,0,6.7,0
Frozen,2013,102,PG,400736600,150000000,USA,Chris Buck,Josh Gad,300,2000,5000,58000,210829,0,7.6,1
The Matrix Reloaded,2003,138,R,281492479,150000000,USA,Lana Wachowski,Steve Bastoni,300,2000,5000,10000,210909,0,7.2,1
Thor: The Dark World,2013,112,PG-13,206360018,170000000,USA,Alan Taylor,Chris Hemsworth,300,26000,59803,63000,207035,3,7.1,1
Mad Max: Fury Road,2015,120,R,153629485,150000000,Australia,George Miller,Tom Hardy,750,27000,40025,191000,276251.5,0,8.1,1
Angels & Demons,2009,146,PG-13,133375846,150000000,USA,Ron Howard,Tom Hanks,1800,7500,8474,2500,103919.5,2,6.7,0
Thor,2011,115,PG-13,181015141,150000000,USA,Kenneth Branagh,Chris Hemsworth,300,26000,60059,63000,268157,1,7,1
Bolt,2008,96,PG,114053579,150000000,USA,Byron Howard,Chloδ Grace Moretz,100,8500,10003.5,2500,73383,0,6.9,0
G-Force,2009,88,PG,119420252,150000000,USA,Hoyt Yeatman,Kelli Garner,100,1000,2500,2500,16521,0,5.1,0
Wrath of the Titans,2012,99,PG-13,83640426,150000000,USA,Jonathan Liebesman,Liam Neeson,273,7000,8092,4750,76413,0,5.8,0
Dark Shadows,2012,113,PG-13,79711678,100000000,USA,Tim Burton,Johnny Depp,12800,20000,40424.5,20500,99519.5,7,6.2,0
Mission: Impossible - Rogue Nation,2015,131,PG-13,195000874,150000000,China,Christopher McQuarrie,Tom Cruise,300,10000,21840,47000,116093.5,0,7.4,1
The Wolfman,2010,119,R,61937495,150000000,USA,Joe Johnston,Anthony Hopkins,194,6000,6535.5,2500,44721,0,5.8,0
The Legend of Tarzan,2016,110,PG-13,124051759,180000000,USA,David Yates,Christoph Waltz,100,5500,10587.5,7250,21186,2,6.6,0
Bee Movie,2007,91,PG,126597121,150000000,USA,Steve Hickner,Matthew Broderick,100,1000,3288,2500,52951,0,6.2,0
Kung Fu Panda 2,2011,90,PG,165230261,150000000,USA,Jennifer Yuh Nelson,Angelina Jolie Pitt,300,11000,21015,20000,91359,0,7.3,1
The Last Airbender,2010,103,PG,131564731,150000000,USA,M. Night Shyamalan,Seychelle Gabriel,100,1000,2500,4500,59475.5,0,4.2,0
Mission: Impossible III,2006,124,PG-13,133382309,150000000,USA,J.J. Abrams,Philip Seymour Hoffman,13800,11000,17408.5,2500,128347.5,0,6.9,0
White House Down,2013,131,PG-13,73103784,150000000,USA,Roland Emmerich,Channing Tatum,576,8500,9102,8250,82119,2,6.4,0
Mars Needs Moms,2011,88,PG,21379315,150000000,USA,Simon Wells,Elisabeth Harnois,100,1000,2500,2500,8795,0,5.4,0
Flushed Away,2006,85,PG,64459316,149000000,UK,David Bowers,Hugh Jackman,100,10000,17580.5,2500,42543,0,6.7,0
Pan,2015,111,PG,34964818,150000000,USA,Joe Wright,Hugh Jackman,256,10000,10696.5,6000,19978,4,5.8,0
Mr. Peabody & Sherman,2014,92,PG,111505642,145000000,USA,Rob Minkoff,Ty Burrell,100,1500,2905,2750,23950,2,6.9,0
Troy,2004,196,R,133228348,175000000,USA,Wolfgang Petersen,Brad Pitt,100,5500,8972,2500,190836,2,7.2,0
Madagascar 3: Europe's Most Wanted,2012,93,PG,216366733,145000000,USA,Eric Darnell,Jada Pinkett Smith,300,2000,5000,17000,59606.5,0,6.9,1
Die Another Day,2002,133,PG-13,160201106,142000000,UK,Lee Tamahori,Toby Stephens,300,2000,5000,10000,84957,0,6.1,1
Ghostbusters,2016,116,PG-13,118099659,144000000,USA,Paul Feig,Ed Begley Jr.,100,1000,2500,15500,34878.5,4,5.5,0
Armageddon,1998,153,PG-13,201573391,140000000,USA,Michael Bay,Bruce Willis,300,13000,26029,11000,161197.5,0,6.6,1
Men in Black II,2002,88,PG-13,190418803,140000000,USA,Barry Sonnenfeld,Will Smith,300,10000,14823,2000,135103.5,2,6.1,1
Beowulf,2007,115,PG-13,82161969,150000000,USA,Robert Zemeckis,Robin Wright,100,9000,15761.5,750,71220,1,6.3,0
Kung Fu Panda 3,2016,95,PG,143523463,145000000,USA,Alessandro Carloni,J.K. Simmons,100,12000,18047.5,6000,32161,0,7.2,0
Mission: Impossible - Ghost Protocol,2011,133,PG-13,209364921,145000000,USA,Brad Bird,Tom Cruise,663,10000,21768,35000,182552,3,7.4,1
Rise of the Guardians,2012,97,PG,103400692,145000000,USA,Peter Ramsey,Hugh Jackman,100,10000,10322.5,6250,61776.5,0,7.3,0
Fun with Dick and Jane,2005,90,PG-13,110332737,100000000,USA,Dean Parisot,John Michael Higgins,300,2000,5000,2000,55394,1,6.1,1
The Last Samurai,2003,154,R,111110575,140000000,USA,Edward Zwick,Tom Cruise,180,5000,5972.5,2500,158583,1,7.7,0
Exodus: Gods and Kings,2014,150,PG-13,65007045,140000000,UK,Ridley Scott,Christian Bale,100,11500,13245,12750,64341,0,6.1,0
Star Trek,2009,127,PG-13,257704099,150000000,USA,J.J. Abrams,Chris Hemsworth,14000,26000,39284,19000,252209.5,0,8,1
Spider-Man,2002,121,PG-13,403706375,139000000,USA,Sam Raimi,J.K. Simmons,300,24000,40484,5000,272332.5,0,7.3,1
How to Train Your Dragon 2,2014,102,PG,176997107,145000000,USA,Dean DeBlois,Gerard Butler,300,18000,23378,46000,110564,5,7.9,1
Gods of Egypt,2016,126,PG-13,31141074,140000000,USA,Alex Proyas,Gerard Butler,100,9000,9884.5,6000,25946,4,5.5,0
Stealth,2005,121,PG-13,31704416,135000000,USA,Rob Cohen,Sam Shepard,157,1000,2500,2500,22727.5,0,5,0
Watchmen,2009,215,R,107503316,130000000,USA,Zack Snyder,Matt Frewer,100,1000,2500,4500,196237,1,7.7,0
Lethal Weapon 4,1998,127,R,129734803,140000000,USA,Richard Donner,Jet Li,303,2500,3085.5,2500,63748.5,2,6.6,0
Hulk,2003,138,PG-13,132122995,137000000,USA,Ang Lee,Kevin Rankin,100,1000,2500,2500,106053,0,5.7,0
G.I. Joe: Retaliation,2013,122,PG-13,122512052,130000000,USA,Jon M. Chu,Channing Tatum,100,8500,15979,10500,73176,6,5.8,0
Sahara,2005,124,PG-13,68642452,130000000,UK,Breck Eisner,Matthew McConaughey,100,5500,6536.5,2500,38836.5,3,6,0
Final Fantasy: The Spirits Within,2001,106,PG-13,32131830,137000000,USA,Hironobu Sakaguchi,Steve Buscemi,100,6000,7507.5,2500,36129.5,1,6.4,0
Captain America: The First Avenger,2011,124,PG-13,176636816,140000000,USA,Joe Johnston,Chris Evans,394,11000,19761,46000,254409,0,6.9,1
The World Is Not Enough,1999,128,PG-13,126930660,135000000,UK,Michael Apted,Colin Salmon,100,1000,2500,500,78759.5,2,6.4,0
Master and Commander: The Far Side of the World,2003,138,PG-13,93926386,150000000,USA,Peter Weir,James D'Arcy,408,1000,2500,2500,84103.5,1,7.4,0
The Twilight Saga: Breaking Dawn - Part 2,2012,115,PG-13,292298923,120000000,USA,Bill Condon,Robert Pattinson,386,21000,59177,65000,92697,3,5.5,1
Happy Feet 2,2011,100,PG,63992328,135000000,Australia,George Miller,Robin Williams,550,24500,31322,2500,16199.5,0,5.9,0
The Incredible Hulk,2008,135,PG-13,134518390,150000000,USA,Louis Leterrier,Ty Burrell,100,1500,2905.5,2500,163143,0,6.8,0
The BFG,2016,117,PG,52792307,140000000,UK,Steven Spielberg,Mark Rylance,13800,1000,2500,6750,6286,0,6.8,0
The Revenant,2015,156,R,183635922,135000000,USA,Alejandro G. I±ßrritu,Leonardo DiCaprio,300,29000,57108,190000,203010,0,8.1,1
Turbo,2013,96,PG,83024900,135000000,USA,David Soren,Ryan Reynolds,100,8000,8708,3250,31212,0,6.5,0
Rango,2011,107,PG,123207194,135000000,USA,Gore Verbinski,Johnny Depp,363,20000,21645.5,6500,91604,0,7.2,0
Penguins of Madagascar,2014,92,PG,83348920,132000000,USA,Eric Darnell,Benedict Cumberbatch,100,9500,9981.5,2750,30115,0,6.7,0
The Bourne Ultimatum,2007,115,PG-13,227137090,110000000,USA,Paul Greengrass,Matt Damon,521,13000,17369,10000,245538.5,0,8.1,1
Kung Fu Panda,2008,92,PG,215395021,130000000,USA,Mark Osborne,Angelina Jolie Pitt,300,11000,12754,6000,153514.5,0,7.6,1
Ant-Man,2015,117,PG-13,180191634,130000000,USA,Peyton Reed,Judy Greer,300,2000,5730,61000,156933,6,7.4,1
The Hunger Games: Catching Fire,2013,146,PG-13,424645577,130000000,USA,Francis Lawrence,Jennifer Lawrence,508,34000,49355,82000,249198.5,1,7.6,1
The Twilight Saga: Breaking Dawn - Part 2,2012,115,PG-13,292298923,120000000,USA,Bill Condon,Robert Pattinson,386,21000,59177,65000,92697,3,5.5,1
Home,2015,94,PG,177343675,135000000,USA,Tim Johnson,Jim Parsons,300,17000,17883,26000,35060.5,0,6.7,1
War of the Worlds,2005,116,PG-13,234277056,132000000,USA,Steven Spielberg,Tom Cruise,14000,10000,12758,10000,167172.5,0,6.5,1
Bad Boys II,2003,147,R,138396624,130000000,USA,Michael Bay,Will Smith,300,10000,12954,10000,89063,1,6.6,1
Puss in Boots,2011,90,PG,149234747,130000000,USA,Chris Miller,Salma Hayek,300,4000,5046,16000,57143.5,0,6.7,1
Salt,2010,101,PG-13,118311368,110000000,USA,Phillip Noyce,Angelina Jolie Pitt,300,11000,12406,23000,122810.5,1,6.4,1
Noah,2014,138,PG-13,101160529,125000000,USA,Darren Aronofsky,Anthony Hopkins,100,6000,16177.5,17750,100011,2,5.8,0
The Adventures of Tintin,2011,107,PG,77564037,135000000,USA,Steven Spielberg,Toby Jones,13800,1000,2500,11000,88691.5,1,7.4,0
Harry Potter and the Prisoner of Azkaban,2004,142,PG,249358727,130000000,UK,Alfonso Cuar≤n,Daniel Radcliffe,300,11000,33284,11000,191127.5,3,7.8,1
